RecordNumber,CustomerId,LastName,RiskScore,Location,Gender,Age,LoyaltyYears,AccountBalance,ProductCount ,HasCreditCard,ActiveStatus,IncomeEstimate,HasComplaint,ComplaintSatisfaction,CardType,CreditCardPoints,Retention
125,5780671,BROTHMAN,593,UK,1,25,12,0,1,0,0,275469,0,4,Gold Card,1292,1
126,5627429,CASCADEN,406,UK,1,33,1,101735.6,1,1,0,165397,1,3,Titanium Card,786,0
127,5671361,DENEKE,594,UK,0,42,15,0,1,0,1,12954,1,3,Titanium Card,872,0
128,5783535,BOBBIN,612,Israel,1,52,4,99004.8,1,1,0,70236,1,2,Elite Card,738,0
129,5576449,YEBRA,808,UK,1,50,10,0,2,1,0,257068,0,3,Elite Card,1198,1
130,5593490,STEUBING,827,UK,1,21,11,67884.7,1,1,0,250884,0,3,Gold Card,1314,1
131,5740860,GRICH,720,UK,0,28,3,0,2,1,1,186339,0,3,Elite Card,674,1
132,5720146,OLCOTT,753,Israel,1,39,11,87241.6,1,1,1,172402,0,5,Gold Card,739,1
133,5678270,ELBOGEN,746,UK,1,36,12,81713.9,1,1,1,53413,0,4,Titanium Card,1070,1
134,5642674,PLOUSE,657,UK,0,18,14,0,2,0,1,24689,0,2,Titanium Card,1040,1
135,5713749,QASIM,799,Israel,0,48,8,83219,2,1,1,186616,0,3,Elite Card,678,1
136,5584948,SUNDERHAUS,547,Israel,0,44,14,96596.7,2,1,1,52411,0,3,Gold Card,1495,1
137,5803236,MURFIELD,523,Israel,1,28,6,42442.6,1,0,1,251676,0,2,Debit Card,894,1
138,5611132,HAUBRICK,678,UK,0,43,8,88975.4,1,0,1,139748,0,1,Elite Card,673,1
139,5596068,CICO,674,USA,1,56,12,142097.5,1,1,0,112741,0,5,Titanium Card,1465,0
140,5642885,ZUPANCIC,547,USA,1,27,5,86326.9,2,0,1,12886,1,3,Gold Card,444,0
141,5699800,PEDREGON,825,Israel,0,53,6,91634.7,1,1,0,284315,0,6,Elite Card,1736,1
142,5726635,FORNELL,750,UK,0,43,15,0,2,1,1,270640,0,3,Debit Card,1641,1
143,5629007,LAMORGESE,766,UK,0,42,9,83901.3,1,1,1,289977,0,4,Gold Card,831,1
144,5714322,REICHWALD,746,USA,0,58,3,0,1,1,0,238685,1,6,Gold Card,1588,0
145,5612968,ILLMAN,653,UK,0,27,13,27277,1,1,0,189320,0,1,Debit Card,723,0
146,5802105,EIGEN,468,USA,1,26,6,75438.1,1,1,1,81212,0,5,Gold Card,1375,1
147,5707328,PENSHORN,614,USA,1,27,5,92198,2,1,0,211613,0,1,Elite Card,1094,1
148,5755293,ILLGEN,692,UK,0,36,9,71311.5,1,0,0,36742,0,5,Elite Card,1173,1
149,5704256,SPORING,807,UK,0,52,15,80454.4,1,1,0,112254,0,2,Debit Card,936,1
150,5794481,DUCCINI,484,UK,1,25,13,0,2,0,1,1318,0,4,Gold Card,1591,1
151,5651784,SHOWMAKER,722,USA,0,36,0,0,2,1,0,134281,0,1,Debit Card,1440,1
152,5760389,STAUDE,540,UK,1,43,1,0,1,1,0,224839,1,4,Gold Card,1254,0
153,5812840,SWACKHAMMER,690,USA,0,34,7,0,2,1,0,271200,0,2,Debit Card,768,1
154,5689424,MONTERO,520,UK,0,41,4,85073.1,1,1,0,147969,0,2,Titanium Card,1116,1
155,5711097,ANZURES,697,UK,1,48,15,0,2,1,1,163562,0,2,Elite Card,572,1
156,5679266,BEDOYA,714,USA,0,52,13,0,1,1,0,26911,1,1,Gold Card,1261,0
157,5655240,LEANDRES,849,UK,1,41,13,0,2,0,0,124494,0,3,Elite Card,1714,1
158,5624332,CASSIM,639,USA,1,35,8,0,2,1,1,138101,0,6,Elite Card,1142,1
159,5591691,ROTT,684,UK,0,63,10,64839.5,1,0,1,157079,0,2,Elite Card,450,1
160,5806015,TRUSLER,697,Israel,1,39,4,82164.5,1,0,0,169031,0,2,Debit Card,1191,1
161,5693767,STEINDL,669,USA,0,20,6,67373.5,1,0,1,127049,0,2,Gold Card,1198,1
162,5642783,GOTELLI,703,UK,1,33,6,0,2,1,0,125210,0,4,Titanium Card,1257,1
163,5631671,ACHS,892,UK,1,58,2,72004.9,1,0,0,70687,0,3,Elite Card,1538,1
164,5682417,KOBERG,764,USA,0,37,15,0,2,1,1,160466,0,5,Debit Card,961,1
165,5659668,PREISS,750,USA,1,25,5,89135.3,1,1,0,83373,1,1,Elite Card,698,0
166,5585705,MAYEA,611,Israel,1,35,10,83459.8,2,1,1,209811,0,6,Gold Card,1101,1
167,5725531,SLONIM,771,Israel,1,27,12,75356.1,1,1,0,243755,1,1,Elite Card,1441,0
168,5589768,WAMPLER,565,USA,0,36,12,72675.5,1,1,0,294749,0,1,Elite Card,1009,1
169,5574752,LILLIG,701,USA,1,44,15,0,2,1,0,61081,1,5,Elite Card,554,0
170,5612363,LINDENBERG,695,Israel,0,26,13,38619.9,2,0,0,79701,0,4,Debit Card,1156,1
171,5588899,KLINK,526,UK,1,32,13,86742.9,1,1,0,246026,0,1,Gold Card,447,1
172,5613368,REINECKER,660,Israel,1,33,11,63884.3,2,1,0,233995,1,1,Debit Card,1472,1
173,5652355,LINDAMOOD,536,Israel,1,41,5,86405.7,1,1,0,8209,1,1,Gold Card,1394,0
174,5587742,VANORE,669,UK,0,27,4,112974.7,1,1,0,168280,1,4,Titanium Card,1569,1
175,5627338,BARTOLOMEO,477,UK,1,42,12,0,2,1,1,219686,0,4,Titanium Card,782,1
176,5756982,ALTMYER,463,USA,0,34,1,89245.5,1,1,1,40929,0,2,Debit Card,746,1
177,5645638,RODAMMER,515,UK,1,27,12,0,2,1,1,195830,0,3,Titanium Card,774,1
178,5791376,IREY,589,Israel,1,37,13,126986.3,2,0,0,269027,0,5,Elite Card,1671,1
179,5763498,KINNAIRD,659,USA,0,40,1,67995.4,1,0,1,142161,0,6,Debit Card,1225,1
180,5625840,RONGO,738,Israel,1,47,5,107739.2,1,1,0,12121,1,5,Gold Card,1458,0
181,5717980,CUENIN,936,USA,1,36,3,81540.8,1,1,1,29223,0,6,Gold Card,1329,1
182,5791536,GLENDENNING,520,UK,1,72,1,0,2,1,1,72107,0,2,Debit Card,504,1
183,5621279,KOLT,772,Israel,0,36,0,108100.3,2,1,0,261796,0,1,Titanium Card,450,1
184,5811470,EGUSQUIZA,693,UK,1,34,5,0,2,1,1,83206,0,3,Elite Card,1783,1
185,5720227,BICKAR,859,UK,1,58,8,0,1,1,1,12820,1,1,Gold Card,867,0
186,5654868,INGEMI,568,UK,0,33,13,0,2,1,0,143785,0,3,Elite Card,760,1
187,5772710,SANSCHAGRIN,797,UK,0,32,10,66007.1,1,1,0,292418,0,6,Gold Card,468,1
188,5709869,LATIOLAIS,561,USA,1,36,13,0,1,0,1,197282,0,6,Debit Card,1155,1
189,5727083,MURPHREY,627,USA,0,26,13,0,2,0,1,294162,0,4,Elite Card,1261,1
190,5587643,NAKASATO,765,Israel,1,39,6,74258.8,2,1,0,222847,0,3,Gold Card,1026,1
191,5728322,ORCUTT,708,UK,0,45,5,37476.6,2,0,0,139473,1,5,Gold Card,1422,0
192,5772073,MANIAS,599,UK,0,41,3,56218.5,2,1,0,26513,0,5,Elite Card,1308,1
193,5757128,VIOLETTE,550,UK,1,41,14,0,2,0,0,172494,0,3,Debit Card,1635,1
194,5703381,MATCH,672,UK,0,38,13,62008.6,1,1,0,130436,0,3,Gold Card,1437,1
195,5681090,WILLIER,601,USA,1,37,8,41140.3,2,1,0,192116,0,1,Titanium Card,936,1
196,5595075,TKACZUK,887,UK,0,40,11,116526.8,1,1,1,900,0,3,Debit Card,1549,1
197,5636337,CANAMAR,708,USA,0,31,14,0,2,1,1,64502,0,5,Gold Card,921,1
198,5779414,STOBERT,723,Israel,0,27,3,71813.8,1,1,1,237886,0,1,Elite Card,860,1
199,5657476,IVENS,484,UK,0,66,8,0,2,1,1,71770,0,6,Elite Card,673,1
200,5812804,CHIRGWIN,480,UK,0,42,0,64282.6,1,1,0,15732,0,3,Elite Card,504,1
201,5605330,AWES,808,USA,1,38,9,94026.7,1,1,1,8967,0,2,Titanium Card,1106,1
202,5624881,DOWNAM,760,UK,0,33,4,70280.1,1,0,1,182113,0,2,Gold Card,782,1
203,5602862,WIKLUND,607,USA,1,41,9,0,1,0,1,219218,1,4,Gold Card,915,0
204,5728009,SIMECEK,755,UK,1,42,7,86014.7,2,1,1,21562,1,5,Titanium Card,577,0
205,5629721,HESSELBACH,548,USA,0,37,5,117777.7,1,1,0,142006,0,1,Elite Card,1306,1
206,5773996,STEMPER,640,UK,0,36,15,0,1,1,1,269505,0,3,Gold Card,928,1
207,5757052,NEPPL,599,USA,0,34,0,59842.6,1,0,0,298957,1,4,Elite Card,1149,0
208,5680278,FASANO,685,UK,0,42,2,89969.7,1,1,1,227931,0,2,Debit Card,921,1
209,5685128,DITALIA,660,UK,0,37,11,0,1,1,0,213770,1,4,Gold Card,1314,0
210,5613743,RAAUM,714,UK,0,45,11,70917.9,1,0,1,237396,0,2,Titanium Card,439,1
211,5752889,NINA,775,Israel,1,36,2,107876.4,2,1,0,254072,0,3,Elite Card,525,1
212,5624662,BIDON,701,UK,0,31,0,0,2,1,1,254872,0,4,Gold Card,440,1
213,5573351,FELSCH,694,UK,1,32,2,0,2,0,0,133278,0,3,Titanium Card,1526,1
214,5596279,CAPURRO,664,UK,1,36,12,42063.3,1,1,1,60968,0,3,Debit Card,1753,1
215,5785777,REJNIAK,569,Israel,1,30,3,78858,2,0,0,90640,0,3,Titanium Card,1724,1
216,5724216,BORENGASSER,644,Israel,0,38,1,71236.1,1,0,1,236938,1,3,Gold Card,1131,0
217,5682228,BOVIS,654,UK,0,48,15,33008.4,1,1,0,199511,0,2,Titanium Card,558,1
218,5786544,SKORCZEWSKI,774,USA,1,33,4,0,2,0,0,264864,0,2,Debit Card,1117,1
219,5660252,ROOZEBOOM,905,UK,0,52,3,70532.9,2,1,0,52332,1,3,Titanium Card,1663,0
220,5775115,GRUNDLER,639,UK,1,45,14,0,1,1,1,43106,1,1,Elite Card,645,0
221,5725545,WAHLMEIER,706,UK,0,27,14,76481.4,2,1,1,147267,0,4,Debit Card,1459,1
222,5788680,RANSONET,541,USA,1,31,6,0,1,0,1,187515,0,4,Titanium Card,1048,1
223,5729077,TRUDEAU,568,UK,1,41,3,0,2,1,1,251976,0,4,Debit Card,1725,1
224,5734497,STANGELAND,870,UK,0,40,1,0,1,1,0,7292,1,1,Debit Card,645,0
225,5569227,BARRE,768,Israel,0,41,10,66376.1,1,1,1,163308,1,2,Elite Card,1621,0
226,5699298,KAHLA,754,UK,0,30,3,113705.3,2,1,0,297379,0,5,Gold Card,1311,1
227,5774440,ZIEHMER,644,UK,0,37,8,0,2,1,1,40440,0,6,Titanium Card,1491,1
228,5678443,MINERD,510,Israel,0,36,15,49730.8,3,1,1,128619,1,3,Debit Card,1422,0
229,5638817,RICOY,831,Israel,1,41,13,64592.3,1,1,0,115809,1,1,Titanium Card,1360,0
230,5607038,HERBY,548,Israel,0,32,12,87220.1,1,1,0,91572,0,4,Gold Card,1570,1
231,5809799,TLOUGAN,757,UK,1,68,3,0,2,0,1,167971,0,2,Debit Card,1556,1
232,5627904,AUDAS,591,UK,0,39,5,0,2,1,0,93348,0,5,Gold Card,1242,1
233,5788577,VERKEST,608,UK,0,37,9,0,2,0,1,234157,0,4,Elite Card,1299,1
234,5724376,SAVEDGE,819,Israel,1,18,0,79809.5,2,0,1,225203,0,3,Titanium Card,962,1
235,5704855,SASAKI,567,UK,1,64,5,75986,2,0,1,139719,0,5,Debit Card,1044,1
236,5773175,GERLICH,800,Israel,0,50,14,66773.8,1,1,0,50194,1,4,Gold Card,1275,0
237,5712390,HARRAH,682,UK,0,22,6,0,1,1,1,216562,0,3,Gold Card,1674,1
238,5766564,BURKLEY,604,Israel,0,51,15,77480.3,3,1,0,83705,1,4,Titanium Card,475,0
239,5794510,DELLORUSSO,653,UK,1,37,1,0,3,1,0,133572,1,1,Titanium Card,1696,0
240,5795561,LANGARICA,746,UK,0,30,7,54115.9,2,0,1,244218,0,3,Elite Card,698,1
241,5812346,DOORN,686,USA,0,32,11,0,2,1,0,204389,0,4,Gold Card,446,1
242,5652359,BENTZEL,727,Israel,0,37,14,77869.2,1,1,0,186079,0,3,Gold Card,1372,1
243,5815624,STAWSKI,703,UK,0,45,6,70641.1,2,0,1,111238,0,1,Titanium Card,1113,1
244,5596897,TERZIAN,637,Israel,1,69,1,78274.4,1,1,1,67606,1,2,Debit Card,1466,0
245,5576862,FAHLMAN,583,USA,0,25,5,0,2,1,0,93045,0,3,Titanium Card,1018,1
246,5798170,SHIMON,591,UK,1,31,0,82331.7,1,1,0,197929,1,4,Gold Card,1393,0
247,5686839,MIESEN,847,Israel,0,25,10,101600.3,2,1,0,119121,0,1,Elite Card,1250,1
248,5600688,GILLEYLEN,627,UK,0,30,12,0,2,1,1,299457,0,6,Elite Card,1623,1
249,5658423,GALLOWAY,602,Israel,0,30,10,68731.9,1,1,1,236365,0,1,Gold Card,957,1
250,5773749,BASONE,776,Israel,0,61,6,84278.8,1,1,0,201631,1,3,Titanium Card,1292,0
251,5628168,ELWOOD,783,Israel,1,30,15,51897.9,1,0,0,149708,0,6,Elite Card,1610,1
252,5755013,BROWNFIELD,555,USA,0,29,13,0,2,1,1,146899,0,4,Titanium Card,1347,1
253,5795071,LOOBY,753,UK,1,82,7,0,2,0,1,256453,0,6,Titanium Card,598,1
254,5695810,WESELOH,544,Israel,1,37,1,53154.6,1,1,1,86338,0,5,Titanium Card,1558,1
255,5665978,BINGERT,753,USA,1,18,7,0,1,0,0,265070,0,2,Debit Card,1207,1
256,5765595,VIRK,728,USA,0,39,13,0,2,0,1,51424,0,4,Gold Card,1206,1
257,5638023,TRONT,732,UK,1,30,15,0,2,1,1,297956,0,5,Gold Card,1382,1
258,5594267,LAURITZEN,676,Israel,0,30,8,24844.4,2,0,0,235375,0,4,Debit Card,1016,1
259,5751349,MALIZIO,782,UK,1,37,3,85328.2,1,1,1,75685,0,1,Debit Card,868,1
260,5608242,JESSEMAN,947,Israel,1,43,7,36600.7,1,1,1,210113,0,2,Gold Card,1666,1
261,5715540,BADAT,795,Israel,1,41,6,72498.7,2,1,1,97984,0,2,Titanium Card,1677,1
262,5674119,EMBER,796,USA,0,47,12,66604.1,1,1,0,96484,0,4,Titanium Card,1621,1
263,5687439,NORVIL,519,UK,0,38,5,123124.3,2,1,0,22434,0,2,Gold Card,537,1
264,5674817,NEMECEK,782,UK,0,20,4,73769.3,1,0,1,167818,0,3,Elite Card,1617,1
265,5702109,SINDLE,783,USA,0,33,15,52679.9,1,1,1,27909,0,3,Elite Card,840,1
266,5814761,OHRENBERGER,496,USA,1,43,10,66160.3,1,1,0,184705,0,2,Elite Card,1290,1
